"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23099408,24964630,0.57,0.05,2.51,1.93,0.65,0.12,0.72,0.09,29.83,0.03,41.19,5.87,3.06,11.85,1.05,0.49,NA
23099410,23099408,0.57,0.05,2.51,1.93,0.65,0.12,0.72,0.09,29.83,0.03,41.19,5.87,3.06,11.85,1.05,0.49,NA
23099412,23099410,0.57,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.16,0.03,41.31,5.92,3.04,11.49,1.06,0.49,NA
23099414,23099412,0.57,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,NA
23099416,23099414,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,NA
23099418,23099416,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,NA
23099420,23099418,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,NA
23099422,23099420,0.56,0.05,2.47,1.86,0.6,0.12,0.73,0.09,30.18,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099424,23099422,0.56,0.05,2.47,1.86,0.6,0.12,0.73,0.09,30.18,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099426,23099424,0.56,0.05,2.46,1.85,0.6,0.12,0.73,0.09,30.19,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099428,23099426,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.2,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099430,23099428,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.2,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099432,23099430,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.21,0.03,41.32,5.93,3.04,11.49,1.06,0.49,NA
23099434,23099432,0.56,0.05,2.45,1.82,0.58,0.12,0.73,0.09,30.24,0.03,41.34,5.94,3.04,11.48,1.06,0.49,NA
23099436,23099434,0.56,0.05,2.45,1.82,0.58,0.12,0.73,0.09,30.24,0.03,41.34,5.94,3.04,11.48,1.06,0.49,NA
23099438,23099436,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.27,0.03,41.34,5.94,3.04,11.47,1.06,0.49,NA
23099440,23099438,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,NA
23099442,23099440,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,NA
23099444,23099442,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,NA
23099446,23099444,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,NA
23099448,23099446,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.31,0.03,41.35,5.95,3.04,11.42,1.06,0.49,NA
