COMID,totco2g_day_fill
137182882,25635618
23735691,1530935
23751752,13418186.47
23751754,3760791.378
23751756,7124666
23751758,13991083.56
23751760,8698062.339
23751762,6892675.841
23751764,13610408.67
23751766,577720.3452
23751768,808076.4375
23751770,3316338.25
23751772,3789182
23751774,991117.875
23751776,103797747.8
23751778,10282323.37
23751780,45220895.85
23751782,16369919.98
23751784,316278.25
23751786,559888.1096
23751788,1087271.139
23751790,1883190.071
23751794,5946565
23751796,8052659.211
23751798,9448591.209
23751800,22111037.54
23751802,1911338.625
23751804,2369248.521
23751806,702532.3586
23751808,1737879.452
23751810,801817.3504
23751812,126019.8082
23751814,894976.4786
23751816,409586.042
23751818,392640.4953
23751820,278287.7448
23751822,269397.9877
23751824,78057.06156
23751826,49083.27255
23751828,19082.18197
23751830,30777463.92
23751832,21295724
23751834,8408790
23751836,12658315.09
23751838,10232693.01
23751840,9837600.598
23751842,7330773
23751844,38302330.22
23751846,31016162
23751848,3233979.309
23751850,5949217
23751852,36253877.44
23751854,21042864
23751856,21172008
23751858,8703434
23751860,9735966
23751862,17045942
23751864,13568530
23751866,6137117.5
23751868,9195539
23751870,4848787.5
23751872,252125.3272
23751874,3943535.75
23751876,5022098
23751878,7028037
23751880,30687519.04
23751882,2611254.701
23751884,5430341.5
23751886,6570283.5
23751888,6361950
23751890,3743668.5
23751892,2336806.332
23751894,45476141.28
23751896,12297556.25
23751898,2773772.805
23751900,2766743.998
23751902,30506185.13
23751904,7072741
23751906,8877859.432
23751908,7094929
23751910,5246225
23751912,270207.5938
23751914,176989.9105
23751916,107442.0824
23751918,4700428.242
23751920,3862763.75
23751922,7805602.52
23751924,5350234.436
23751926,9211674.656
23751928,15623075.4
23751930,10814146.43
23751932,4024706
23751934,3770391.25
23751936,4052380.43
23751938,3325206.25
23751940,5053977.507
23751942,6059643
23751944,2600245.369
23751946,2271319.856
23751948,3774555
23751950,14811.93882
23751952,0
23751954,14815.91854
23751956,210078.174
23751958,186056.9639
23751960,145695.2721
23751962,66838.54019
23751964,37724.41525
23751966,3710269
23751968,3801359.75
23751970,883834.3125
23751972,88336.8125
23751974,191485.5878
23751976,163809.3016
23751978,168352.4138
23751980,96109.99015
23751982,81801.77153
23751984,47801.60167
23751986,2112669.5
23751988,3775446
23751990,3978495.5
23751992,3267243.25
23751994,2999411.25
23751996,4841624.5
23751998,2425856.25
23752000,1175151.953
23752002,1979385.875
23752004,412320.0766
23752006,2012909.019
23752008,2991250.272
23752010,131101.593
23752012,4782935
23752014,4081271.504
23752016,5098084.683
23752018,2668399.518
23752020,1101643.923
23752022,762984.1167
23752024,4900754.528
23752026,2879782.66
23752028,1691025.75
23752030,3119886.75
23752032,1448015.725
23752034,4973691.565
23752036,375945.8756
23752038,217682.6492
23752040,61414.00781
23752042,40123.7553
23752044,1502566.75
23752046,3784414.561
23752048,4292541.155
23752050,444273.8577
23752052,440222.7845
23752054,130602.1551
23752056,345264.6065
23752058,308849.9998
23752060,280866.3347
23752062,141782.1834
23752064,116576.4638
23752066,4170488.258
23752068,4027569.632
23752070,3630336.742
23752072,2280310.25
23752074,2690285.5
23752076,2224087.5
23752078,741021.3635
23752080,656284.3543
23752082,98546.46494
23752084,578044.6945
23752086,512348.2962
23752088,503051.5325
23752090,162092.375
23752092,464461.3448
23752094,308224.0964
23752096,241944.7657
23752098,268788.0177
23752100,83442.70124
23752102,81805.59785
23752104,123591.0423
23752106,128446.1208
23752108,3012172.056
23752110,3127586.026
23752112,242155.4714
23752114,184507.8956
23752116,2904256.639
23752118,2679922.876
23752120,1373658.189
23752122,1878888.171
23752124,1088034.406
23752126,1308558.81
23752128,1763166.123
23752130,980207.0621
23752132,2060013.838
23752134,952590.8322
23752136,1376936.692
23752138,327740.3966
23752140,332709.5052
23752142,246454.4903
23752144,132566.489
23752146,121407.5462
23752148,1095850.927
23752150,665868.5359
23752152,284203.8082
23752154,637921.9295
23752156,587079.519
23752158,677569.5538
23752160,262838.7188
23752162,441267.9865
23752164,434511.0559
23752166,313896.5625
23752168,229466.4219
23752170,233299.375
23752172,263303.5022
23752174,356406.8963
23752176,59948.15753
23752178,558220.8969
23752180,533578.4609
23752182,624821.3305
23752184,497799.7184
23752186,531517.5079
23752188,433053.864
23752190,149599.2654
23752192,325613.2359
23752194,135234.0557
23752196,220104.6168
23752198,163718.6165
23752200,81474.44534
23752202,74136.2215
23752204,76173.8334
23752206,9738.981285
23752208,261518.8784
23752210,195899.1955
23752212,204348.3763
23752214,457231.8125
23752216,186181.5075
23752218,55684.89173
23752220,53635.51794
23752222,226903.3125
23752224,582658.2028
23752226,491168.25
23752228,741839.906
23752230,763333.2596
23752232,912589.8754
23752234,34603.71373
23752236,718617.1899
23752238,385862.2813
23752240,747374.5055
23752242,721679.9584
23752244,583398.2117
23752246,212940.5005
23752248,62657.95845
23752250,567563.7247
23752252,373897.1103
23752254,319806.9161
23752256,286251.8322
23752258,259081.0376
23752260,182352.0046
23752262,84627.77805
23752264,71426.95258
23752266,1691603.375
23752268,3085744.638
23752270,1798166.332
23752272,2777164.982
23752274,2337926.795
23752276,1692316.324
23752278,2901133.162
23752280,2679297.016
23752282,2002546.403
23752284,425538.889
23752286,1812011.374
23752288,2266149.632
23752290,1525657.361
23752292,2073821.803
23752294,6775.738388
23752296,2033293.531
23752298,2465897.744
23752300,1887397.779
23752302,2007682.661
23752304,1509272.856
23752306,1987503.899
23752308,2026427.223
23752310,1562719.75
23752312,1984290.283
23752314,1219921.945
23752316,2251978.433
23752318,1610148.261
23752320,1113150.249
23752322,558848.4454
23752324,863388.5047
23752326,67317.71379
23752328,336433.6033
23752330,322039.1186
23752332,207125.6788
23752334,207794.3144
23752336,254110.6108
23752338,294505.2174
23752340,2469141.595
23752342,5777887.13
23752344,3391965.155
23752346,3350467.823
23752348,3158325.683
23752350,3158013.005
23752352,3286131.447
23752354,440814.3125
23752356,2662610.223
23752358,1335732.875
23752360,1984819.785
23752362,2571465.975
23752364,1217406.486
23752366,2527957.522
23752368,2506447.783
23752370,2368696.488
23752372,605781.2443
23752374,2098096.348
23752376,1461670.387
23752378,1541083.358
23752380,1922819.611
23752382,1610753.66
23752384,2083188.374
23752386,1649322.736
23752388,942805.3422
23752390,834181.1425
23752392,176289.3842
23752394,155903.3869
23752396,716659.8339
23752398,456393.7683
23752400,649499.3237
23752402,320870.3034
23752404,258646.7783
23752406,258763.6956
23752408,119182.2674
23752410,34277.79049
23752414,5384.644043
23752416,344606.875
23752418,815347.2758
23752420,1028189.223
23752422,786387.3407
23752424,838797.7381
23752426,375090.1524
23752428,450373.527
23752430,352890.3082
23752432,60703.73795
23752434,120164.6219
23752436,1437.204689
23752438,193007.4989
23752440,139360.0752
23752442,67655.3873
23752444,235575.8281
23752446,6261228.5
23752448,11589591.02
23752450,9917378.499
23752452,10419149.27
23752454,7831830.493
23752456,4995636.5
23752458,2790159.555
23752460,3199336.863
23752462,5661546.166
23752464,5591290.109
23752466,4214758.5
23752468,4889832.5
23752470,2599318.75
23752472,5069999.982
23752474,5185.153673
23752476,1499733.386
23752478,4990799.015
23752480,4317853.126
23752482,3387958.396
23752484,1116548.96
23752486,502668.398
23752488,2724484.839
23752490,940893.8125
23752492,3448318.597
23752494,1365152.045
23752496,2326466.5
23752498,1694536.883
23752500,2483884
23752502,1045730.938
23752504,957288.8125
23752506,2797721.523
23752508,2679128.282
23752510,2507490.857
23752512,2272116.5
23752514,2796428.707
23752516,858098.5625
23752518,2233200.25
23752520,2533534.35
23752522,351085.8577
23752524,160542.4818
23752526,128667.217
23752528,100068.0302
23752530,222255.5156
23752532,1876542.37
23752534,2520810.597
23752536,1122607.925
23752538,427727.3326
23752540,262687.6793
23752542,267450.7188
23752544,265056.3197
23752546,0
23752548,221005.3125
23752550,2211348.178
23752552,1320070.875
23752554,755453.4673
23752556,2094901.164
23752558,1598467.106
23752560,1738714.91
23752562,1359073.175
23752564,911337.5199
23752566,538069.8164
23752570,969058.5943
23752572,1009020.309
23752574,964858.296
23752576,795057.3473
23752578,783593.1611
23752580,691347.8499
23752582,115375.3561
23752584,80852.58302
23752586,400130.8601
23752588,331810.9769
23752590,155126.3361
23752592,218939.2693
23752594,5177594.5
23752596,12324839.26
23752598,9267426.97
23752600,7840735.38
23752602,2552759
23752604,2131431.25
23752606,6090242
23752608,1844871.625
23752610,712285.5758
23752612,389274.8602
23752614,586014.087
23752616,351044.1467
23752618,246752.7247
23752620,194883.7171
23752622,89610.25003
23752624,265622.5881
23752626,198445.6346
23752628,129304.3466
23752630,882397.6408
23752632,4907054.533
23752634,10129.36342
23752636,5052244.619
23752638,3423591.25
23752640,4980759.986
23752642,1796541.995
23752644,4834877.324
23752646,1141117.968
23752648,3541827.15
23752650,2775552.381
23752652,1127716.348
23752654,554941.0251
23752656,433614.6259
23752658,285187.4144
23752660,170553.0061
23752662,1280919.959
23752664,950469.0467
23752666,1582715.991
23752668,1638354.501
23752670,973512.6155
23752672,919251.5753
23752674,942059.4748
23752676,174865.9737
23752678,703098.5123
23752680,148987.2969
23752682,329459.6465
23752684,195866.4845
23752686,132132.3861
23752688,243741.1371
23752690,107455.9348
23752692,83394.80005
23752694,2831043.699
23752696,1799511.863
23752698,675638.1411
23752700,482251.0146
23752702,318223.2235
23752704,248890.0679
23752706,171872.1336
23752708,224142.006
23752710,164534.5056
23752712,119408.7953
23752714,91842.17408
23752716,263284.7188
23752718,695606.1781
23752720,179892.152
23752722,71671.43468
23752724,42957.99741
23752726,14624.2886
23752728,186098.9939
23752730,132334.9925
23752732,273247.3973
23752734,71419.4774
23752736,26751.38477
23752738,110051.8385
23752740,148663.8284
23752742,81858.37174
23752744,60383.1141
23752746,124881.0836
23752748,77131.09808
23752750,60380.69012
23752752,266598.1431
23752754,159156.7013
23752756,102256.5319
23752758,75522.01595
23752760,307649.349
23752762,164349.2022
23752764,288061.4994
23752766,242226.6091
23752768,278807.0347
23752770,183317.0992
23752772,166679.4646
23752774,9152.030301
23752776,162718.338
23752778,128065.7837
23752780,227999.3005
23752782,176223.8654
23752784,118046.6103
23752786,77604.99898
23752788,62634.08392
23752790,95776.88671
23752792,47837.11119
23752794,164980.2298
23752796,80579.6146
23752798,162940.5715
23752800,40156.1631
23752802,44079.82578
23752804,128770.7926
23752806,443073.8795
23752808,324770.4164
23752810,24986.80978
23752812,40019.7892
23752814,51642.8982
