COMID,totco2g_m2_day_fill
23099412,3.307657957
23099414,1.653515935
23099416,136.8334198
23099418,2.213973761
23099420,0.127100901
23099422,7.002669334
23099424,6.175460339
23099426,2.757104217
23099428,4.019127632
23099430,0.583049007
23099432,1.396663287
23099434,1.234720704
23099436,0.5381326
23099438,0.122840298
23099440,0.050606221
23099442,21.07262611
23099444,2.845121576
23099446,0.246934629
23099448,0.135593687
23099450,0.085978163
23099452,0.173470947
23099454,0.129455482
23099456,0.652233921
23099458,0.737162519
23099460,2.892220345
23099462,24.4622208
23099464,4.422039032
23099466,3.375838041
23099468,0.003075181
23099470,0.001758954
23099472,0.002146725
23099474,0.000954357
23099484,0.000655031
23099486,0.001237656
23099488,0.002342703
23099492,0.001962298
23099494,0.004930568
23099496,0.026954973
23099498,0.007096178
23099500,0.006940132
23099502,0.005177049
23099504,0.012806023
23099506,0.011480805
23099508,94.85375977
23099510,0.011726775
23099512,0.083915973
23099514,0.05742835
23099516,0.011969576
23099518,0.023022082
23099520,0.069185001
23099522,0.046004414
23099524,0.004537696
23099526,0.006762104
23099528,0.009338759
23099530,0.01030151
23099532,0.063987539
23099534,0.01850113
23099536,103.1699677
23099538,0.01216116
23099540,0.071881991
23099542,0.015751683
23099544,0.007411468
23099546,0.017616509
23099548,0.557730673
23099550,0.283642096
23099552,4.276360989
23099554,0.376133103
23099558,0.103297757
23099560,0.463531453
23099562,0.319335709
23099564,0.609460783
23099566,0.581540061
23099568,0.80044629
23099570,3.185893951
23099572,13.74812889
23099576,9.666285515
23099578,23.22213258
23099580,8.859538078
23099582,56.88545227
23099584,8.076207161
23099586,6.604075432
23099588,14.17001057
23099590,5.215393066
23099594,2.505750328
23099596,7.289766788
23099598,3.591080512
23099600,3.285251162
23099602,7.871586861
23099606,10.37834358
23099608,7.043301261
23099610,0.122952661
23099612,1.478107095
23099614,0.012913912
23099616,0.006033837
23099618,0.005540027
23099620,0.004253335
23099622,0.033317532
23099624,0.012819062
23099626,0.010685052
23099628,0.011093439
23099630,0.017921302
23099632,0.014608743
23099634,0.026956803
23099636,0.011213229
23099638,0.016752663
23099640,0.016691302
23099642,0.01121697
23099644,0.011083721
23099646,0.023128671
23099648,0.014689651
23099650,0.018266006
23099652,0.016832731
23099654,0.253864259
23099656,5.465641133
23099658,49.06070686
23099660,84.46231578
23099662,35.85181046
23099664,7.184553146
23099666,9.257017136
23099668,11.46596813
23099670,12.0685482
23099672,6.634410858
23099674,12.13494015
23099676,5.788648486
23099678,0.093928274
23099680,1.190312669
23099682,5.615541935
23099684,4.166959286
23099686,3.440050602
23099688,0.041908446
23099690,4.420126915
23099692,6.714920521
23099694,0.094189951
23099696,8.752398491
23099698,0.070195759
23099700,8.209860802
23099702,0.133018844
23099704,6.383274078
23099706,144.0537415
23099708,6.067590237
23099710,5.951559067
23099712,4.954874516
23099714,1.812396132
23099716,5.823006864
23099718,0.094857861
23099720,0.201580589
23099722,50.41129303
23099724,8.925988666
23099726,9.637827873
23099728,2.72935403
23099730,3.523225959
23099732,10.18478584
23099734,1.317383725
23099736,0.143552342
23099738,52.15996933
23099742,1.654098432
23099744,15.21926308
23099746,11.12228012
23099748,7.71440872
23099750,0.046739603
23099752,0.046214983
23099754,0.04990877
23099756,1.179104026
23099758,14.20818318
23099760,7.341392329
23099762,28.20763013
23099764,21.68785102
23099766,2.004322873
23099768,17.60820431
23099770,0.432515768
23099772,54.49892807
23099774,9.613401924
23099776,21.61497326
23099778,4.322556449
23099780,2.541677274
23099782,52.8382988
23099784,9.65991497
23099786,5.012468973
23099788,15.04172428
23099790,13.61318225
23099792,8.402125123
23099794,9.626539258
23099796,1.053643508
23099798,8.261839579
23099800,0.300794297
23099802,9.747874588
23099804,12.87122574
23099806,5.113319175
23099808,9.430450179
23099810,13.64822284
23099812,0.119477089
23099814,14.27060691
23099816,13.18731357
23099818,22.14801918
23099820,5.712568048
23099822,27.14939436
23099824,31.32710669
23099826,2.435041876
23099828,1.515939668
23099830,37.79595162
23099832,26.33953857
23099834,22.87371529
23099836,5.509306019
23099838,1.326862562
23099840,60.95811844
23099842,0.165137284
23099844,1.268404974
23099846,14.56743377
23099848,33.36732864
23099850,38.46350211
23099852,3.868605047
23099854,29.94988265
23099856,20.17508982
23099858,3.434383333
23099860,34.77929478
23099862,30.76333029
23099864,41.15832834
23099866,53.38066858
23099868,37.80353849
23099870,54.18726418
23099872,27.94629895
23099874,27.21003532
23099876,0.209342176
23099878,42.78659863
23099880,0.886060301
23099882,91.01131439
23099884,0.442687024
23099886,5.299516028
23099888,6.716607947
23099890,14.85036238
23099892,7.622903882
23099892,7.622903882
23099894,27.00311314
23099894,27.00311314
23099896,62.86567748
23099898,82.6396737
23099900,31.62653609
23099902,47.17231337
23099906,23.45800725
23099908,66.82134354
23099910,79.33775025
23099912,21.95803881
23099914,103.0714722
23099916,11.57213949
23099918,15.53934137
23099920,150.7022095
23099922,54.79184811
23099924,34.86949246
23099926,25.35714348
23099928,8.955993119
23099930,13.17305636
23099932,8.398120652
23099934,1.867426567
23099936,35.02425569
23099938,31.63574326
